artist,genre,score,author
Waajeed,Electronic,7.4,Ben Cardew
The Samps,Electronic,7.3,Philip Sherburne
Meek Mill,Rap,7.7,Evan Rytlewski
Iron Maiden,Metal,7.0,Andy O'Connor
Dipset,Rap,4.0,Ian Cohen
Kirk Knight,Rap,5.7,Trey Alston
Jeff Tweedy,Rock,8.3,Sam Sodomsky
6ix9ine,Rap,3.4,Alphonse Pierre
Jon Spencer,Rock,7.3,Stuart Berman
didi,Rock,7.1,Sasha Geffen
Daft Punk,Electronic,9.2,Larry Fitzmaurice
Neil Young,Rock,8.0,Jesse Jarnow
Tommy Genesis ,Rap,7.3,Eric Torres
Bauhaus,Rock,7.9,Philip Sherburne
BEAST,Electronic,6.8,Piotr Orlov
Earl Sweatshirt,Rap,8.8,Timmhotep Aku
"Wolfgang Tillmans, Powell","Experimental,Electronic",6.8,Steven Arroyo
Hprizm,Rap,7.7,Phillip Mlynar
Joseph Shabason,Jazz,7.8,Miles Bowe
The 1975,Rock,8.5,Ryan Dombal
Rainer Maria,Rock,8.3,Jenn Pelly
Eiko Ishibashi,Pop/R&B,7.5,Patrick St. Michel
Nicholas Krgovich,Rock,7.2,Calum Marsh
City Girls,Rap,7.0,Natelegé Whaley
Mike WiLL Made-It,Rap,5.7,Stephen Kearse
Peder Mannerfelt,Electronic,7.9,Philip Sherburne
ZULI,Electronic,7.7,Andy Beta
Ian Isiah,Pop/R&B,7.7,Sheldon Pearce
Foodman,Experimental,7.5,Philip Sherburne
Jacques Greene,Electronic,7.7,Max Mertens
Ellis ,Rock,7.4,Stuart Berman
Oneohtrix Point Never,Experimental,6.5,Sophie Kemp 
Ryley Walker,Folk/Country,7.8,Paul Thompson
Leikeli47,Rap,7.6,Jenn Pelly
SUSS,Experimental,7.6,Allison Hussey
Van Morrison,Rock,8.4,Ryan H. Walsh
Art Brut,Rock,7.0,Evan Rytlewski
"Meg Baird, Mary Lattimore","Folk/Country,Experimental",7.4,Jayson Greene
Songs: Ohia,Rock,8.7,Sam Sodomsky
Mariah Carey,Pop/R&B,7.5,Maura Johnston
"Tyler, the Creator",Rap,7.2,Sheldon Pearce
teddy<3,Pop/R&B,6.8,Katherine St. Asaph
Grapetooth,Rock,5.9,Steven Arroyo
Mumford & Sons,Rock,5.8,Larry Fitzmaurice
Funeral Chic,Metal,7.1,Kim Kelly
Lil Tracy,Rap,6.0,Alphonse Pierre
The Smashing Pumpkins,Rock,3.4,Jayson Greene
Little Dragon,Electronic,5.2,Olivia Horn 
"ALLBLACK, Kenny Beats",Rap,7.4,Alphonse Pierre
Marianne Faithfull,Rock,8.0,Erin Osmon
Lil Peep,Rap,8.5,Matthew Strauss
Objekt,Electronic,8.0,Philip Sherburne
Charles Bradley,Pop/R&B,6.6,Stephen Thomas Erlewine
The Men,Rock,7.4,Stuart Berman
Charles Mingus,Jazz,8.6,Piotr Orlov
Anderson .Paak,Pop/R&B,7.0,Torii MacAdams
Trippie Redd,Rap,6.6,Trey Alston
Wume,Experimental,7.5,Jonathan Williger
Senyawa,Experimental,7.6,Whitney  Wei
Muse,Rock,6.0,Ian Cohen
CupcakKe,Rap,7.9,Dani Blum 
Demdike Stare,Electronic,8.0,Andy Beta
The Glands,Rock,8.5,Paul Thompson
Imagine Dragons,Rock,5.3,Corban Goble
Sun Kil Moon,Folk/Country,2.8,Grayson Haver Currin
"Freddie Gibbs, Curren$y, The Alchemist",Rap,8.0,Timmhotep Aku
"David Lynch, Angelo Badalamenti","Experimental,Rock",6.2,Andy Beta
Laura Jane Grace & the Devouring Mothers,Rock,5.6,Grayson Haver Currin
"Félicia Atkinson, Jefre Cantu-Ledesma",Experimental,7.7,Kevin Lozano
Gaye Su Akyol,Global,7.7,Andy Beta
"Homeboy Sandman, Edan",Rap,6.8,Dean Van Nguyen
Smino,Rap,7.6,Jay Balfour
J Mascis,Rock,7.3,Stuart Berman
H.E.R.,Pop/R&B,6.0,Jackson Howard
Yung Lean,Rap,4.9,Calum Marsh
System of a Down,Metal,8.2,Sasha Geffen
Fleet Foxes,Folk/Country,8.1,Larry Fitzmaurice
BlocBoy JB ,Rap,6.2,Sheldon Pearce
Rosanne Cash,Rock,7.6,Stephen Thomas Erlewine
RRUCCULLA,Experimental,7.6,Philip Sherburne
Lil Peep,Rap,7.2,Jayson Greene
Vessel,Experimental,8.0,Chal Ravens
Swizz Beatz,Rap,7.1,Sheldon Pearce
Daughters,Rock,8.0,Ian Cohen
Rosalía,Pop/R&B,8.8,Julianne Escobedo Shepherd
Flohio,Rap,6.8,Ciaran Thapar
Nicole Dollanganger,Rock,6.0,Quinn Moreland
Matt Ox,Rap,5.6,Trey Alston
Metro Boomin,Rap,7.7,Alphonse Pierre
Takeoff,Rap,7.7,Jonah Bromwich
Bob Dylan,Rock,8.5,Sam Sodomsky
1010 Benja SL,"Pop/R&B,Electronic",7.9,Kevin Lozano
Georgia Anne Muldrow,Pop/R&B,8.0,Dean Van Nguyen
Action Bronson,Rap,5.1,Phillip Mlynar
Brent Faiyaz  ,Pop/R&B,6.6,Margaret Farrell
The Prodigy,Electronic,6.2,Ben Cardew
Pistol Annies,Folk/Country,8.0,Mike Powell
Kelly Moran,Experimental,7.6,Philip Sherburne
Dead Can Dance,Experimental,7.3,Ben Cardew
Ian William Craig,Experimental,7.9,Grayson Haver Currin
Missy Elliott,Rap,9.0,Judnick Mayard
"Ty Dolla $ign, Jeremih","Rap,Pop/R&B",7.7,Austin Brown
Metallica,Metal,9.3,Sean T. Collins
Ian Sweet,Rock,6.5,Nina Corcoran
Tasha,Pop/R&B,7.1,Vrinda Jagota
Vince Staples,Rap,8.2,Alphonse Pierre
Julia Holter,Experimental,8.2,Jenn Pelly
Tory Lanez,Rap,5.0,Alphonse Pierre
Mr Twin Sister,Pop/R&B,7.0,Larry Fitzmaurice
Miya Folick  ,Rock,8.1,Margaret Farrell
R.E.M.,Rock,7.4,Chris Randle
Saves the Day,Rock,3.5,Arielle Gordon
Mr. Mitch,Electronic,7.7,Ben Cardew
Nao,Pop/R&B,7.7,Eric Torres
Deerhoof,Experimental,7.1,Sophie Kemp 
Joji,Pop/R&B,6.7,Braudie Blais-Billie
"Apollo Brown, Joell Ortiz",Rap,6.7,Dean Van Nguyen
Mick Jenkins,Rap,7.6,Dean Van Nguyen
Colin Self,Experimental,8.0,Ruth Saxelby
"John Carpenter, Cody Carpenter, Daniel Davies",Experimental,7.4,Jayson Greene
Anna St. Louis ,Folk/Country,7.5,Grayson Haver Currin
Makaya McCraven,Jazz,8.1,Nate Chinen
Unknown Mortal Orchestra,Rock,6.5,Andy Beta
SRSQ,Electronic,6.9,Larry Fitzmaurice
Cosmic Analog Ensemble,Jazz,7.7,Dean Van Nguyen
Lucinda Williams,Folk/Country,9.5,Jenn Pelly
Thom Yorke,"Electronic,Rock",8.0,Philip Sherburne
Bruce,Electronic,7.4,Andy Beta
Peter Bjorn and John,Rock,6.8,Larry Fitzmaurice
"Laraaji, Arji OceAnanda, Dallas Acid",Experimental,7.6,Miles Bowe
boygenius,Rock,8.3,Dayna Evans
Geotic,Electronic,6.7,Maggie Lange
Amerie,Pop/R&B,7.2,Maura Johnston
Joy Orbison,Electronic,7.7,Philip Sherburne
Robyn,Pop/R&B,8.5,Stacey Anderson
"Future, Juice WRLD",Rap,6.3,Torii MacAdams
Queen,Rock,4.5,Stephen Thomas Erlewine
Candy,Metal,7.5,Kim Kelly
How to Dress Well,Pop/R&B,7.3,Claire Lobenfeld
Lil Yachty,Rap,6.1,Trey Alston
Will Oldham,Rock,7.1,Sam Sodomsky
Neneh Cherry,Pop/R&B,7.3,Alfred Soto
Greta Van Fleet,Rock,1.6,Jeremy D. Larson
Yoko Ono,Experimental,6.3,Sasha Geffen
Helena Deland,Experimental,7.8,Philip Sherburne
Weakened Friends,,7.0,Nina Corcoran
Empress Of,Pop/R&B,6.3,Katherine St. Asaph
MØ,Pop/R&B,6.0,Dani Blum 
Eli Keszler,Experimental,8.0,Miles Bowe
GØGGS,Rock,7.2,Stuart Berman
Talking Heads,Rock,10.0,Dan Brooks
David Bowie,Rock,7.1,Chris O’Leary
Kim Kashkashian,,7.6,Jayson Greene
Young Jesus,Rock,8.1,Ian Cohen
Molly Burch,Folk/Country,6.7,Vrinda Jagota
Cloud Nothings,Rock,7.6,Evan Rytlewski
Khalid,Pop/R&B,6.2,Alphonse Pierre
Cocteau Twins,Rock,8.0,Jesse Dorris
Calvin Johnson,Rock,7.8,Marc Masters
Quavo,Rap,5.9,Paul A. Thompson
"Usher, Zaytoven","Pop/R&B,Rap",6.7,Briana Younger
"Elvis Costello, The Imposters",Rock,8.0,Stephen Thomas Erlewine
Current 93,Experimental,7.2,Calum Marsh
Matthew Dear,Electronic,7.5,Philip Sherburne
The Dodos,Rock,6.4,Ian Cohen
Shy Glizzy,Rap,7.6,Sheldon Pearce
Yowler,Rock,7.6,Sasha Geffen
St. Vincent,Rock,7.2,Arielle Gordon
Petite Noir,Pop/R&B,7.8,Stephen Kearse
"William Basinski, Lawrence English",Experimental,6.0,Brian Howe
Kero Kero Bonito,Pop/R&B,6.5,Margaret Farrell
Ella Mai,Pop/R&B,6.6,Owen Myers 
mewithoutYou,Rock,7.5,Brad Nelson
Connan Mockasin,Rock,6.7,Andy Beta
Colter Wall,Folk/Country,7.6,Amanda Wicks
The B-52’s,"Electronic,Rock",9.0,Susan Elizabeth Shepard
Eric Church,Folk/Country,7.6,Stephen Thomas Erlewine
Puce Mary,Experimental,7.2,Daniel Martin-McCormick
GABI,Experimental,7.0,Sasha Geffen
Ambrose Akinmusire,Jazz,7.6,Seth Colter Walls
Kurt Vile,Rock,7.0,Sam Sodomsky
Adrianne Lenker,Rock,8.0,Jayson Greene
Windhand,Metal,7.9,Grayson Haver Currin
David Nance Group,Rock,7.7,Stuart Berman
Bikini Kill,Rock,10.0,Jenn Pelly
"Lil Baby, Gunna",Rap,7.6,Alphonse Pierre
Cursive,Rock,6.8,Ian Cohen
T.I.,Rap,7.4,Stephen Kearse
Sheck Wes,Rap,8.2,Sheldon Pearce
Swearin’,Rock,7.4,Evan Rytlewski
Marie Davidson,Electronic,7.8,Sophie Kemp 
Phosphorescent,Rock,7.6,Jesse Jarnow
"Lady Gaga, Bradley Cooper","Pop/R&B,Folk/Country",7.4,Larry Fitzmaurice
High on Fire,Metal,7.8,Andy O'Connor
Bliss Signal ,"Electronic,Metal",6.9,Grayson Haver Currin
Nathan Bowles,Folk/Country,7.7,Stephen M. Deusner
Fucked Up,Metal,7.3,Ian Cohen
The Joy Formidable,Rock,6.9,Stuart Berman
Maxwell,Pop/R&B,8.3,Brad Nelson
Madeline Kenney,Rock,7.2,Allison Hussey
J Dilla,Rap,8.5,Edwin “STATS” Houghton
Stereolab,Experimental,7.7,Philip Sherburne
Foodman,Experimental,7.5,Andy Beta
Author & Punisher,Metal,7.1,Brian Howe
"Ana da Silva, Phew",Experimental,7.3,Sasha Geffen
Cat Power,Rock,7.4,Jayson Greene
Tom Petty,Rock,8.3,Sam Sodomsky
Marissa Nadler,Folk/Country,7.2,Olivia Horn 
Sam Wilkes,Jazz,7.3,Jay Balfour
Logic,Rap,5.5,Alphonse Pierre
Kevin Gates,Rap,6.9,Evan Rytlewski
Cécile McLorin Salvant,Jazz,7.8,Stephen M. Deusner
SOB X RBE,Rap,7.7,Torii MacAdams
Fred Thomas,Rock,7.5,Ian Cohen
Haruomi Hosono,"Electronic,Pop/R&B",7.6,Kevin Lozano
Dean Blunt,Experimental,5.3,Andy Beta
"Kode9, Burial","Electronic,Experimental",7.4,Philip Sherburne
Jlin,Electronic,7.9,Ben Cardew
Brocker Way,Folk/Country,7.1,Maggie Lange
Lala Lala ,Rock,7.5,Steven Arroyo
Lil Wayne,Rap,7.4,Evan Rytlewski
Mount Eerie,Rock,8.1,Nathan Reese
Viagra Boys,Rock,7.4,Nina Corcoran
Mudhoney,Rock,7.1,Stuart Berman
Maxwell,Pop/R&B,9.0,Jason King
Pinegrove,Rock,7.5,Quinn Moreland
Joe Strummer,Rock,8.0,Stephen Thomas Erlewine
Lupe Fiasco,Rap,6.2,Brian Josephs
Father,Rap,7.8,Briana Younger
Tim Hecker,Experimental,8.5,Grayson Haver Currin
Mount Kimbie,Electronic,7.5,Andy Beta
Roc Marciano,Rap,7.1,Sheldon Pearce
Brandon Coleman,Experimental,6.7,Andy Beta
Metric,Rock,6.6,Katherine St. Asaph
Lonnie Holley,Experimental,7.9,Allison Hussey
Ryan Hemsworth,Electronic,7.4,Mehan Jayasuriya
Mutual Benefit,Folk/Country,6.4,Arielle Gordon
BROCKHAMPTON,Rap,6.6,Reed Jackson
Richard Swift,Rock,8.0,Sam Sodomsky
Bhad Bhabie,Rap,5.5,Michelle Kim
Richard Reed Parry,Experimental,7.7,Stuart Berman
Prince,"Pop/R&B,Rock",8.5,Chris Randle
"YBN Nahmir , YBN Cordae, YBN Almighty Jay",Rap,7.3,Reed Jackson
MHD,Rap,7.5,Jonah Bromwich
Sumac,Metal,7.8,Grayson Haver Currin
The Field,Electronic,8.0,Sasha Geffen
The Beta Band,Rock,8.4,Paul Thompson
Restorations,Rock,7.3,Ian Cohen
Ash Koosha,Electronic,6.0,Ben Cardew
De La Soul,Rap,10.0,Jeff Chang
Joyce Manor,Rock,7.5,Larry Fitzmaurice
Mountain Man,Folk/Country,7.6,Amanda Wicks
The Chills,Rock,7.5,Alfred Soto
Richard Thompson,Folk/Country,7.9,Stephen M. Deusner
Christine and the Queens,Pop/R&B,7.9,Jamieson Cox
6LACK,Pop/R&B,6.1,Dean Van Nguyen
Bun B,Rap,7.8,Evan Rytlewski
Niagara,Electronic,7.7,Philip Sherburne
Jungle,Pop/R&B,5.0,Evan Rytlewski
Altopalo,Experimental,7.4,Marcus J. Moore
"Dave Rempis, Tomeka Reid, Joshua Abrams","Jazz,Experimental",7.4,Andy Beta
Wayne Shorter,Jazz,7.5,Matthew Kassel
Noname,Rap,8.6,Briana Younger
Emma Louise,Pop/R&B,7.6,Jamieson Cox
Shinichi Atobe,Electronic,8.0,Kevin Lozano
The Mountain Goats,Rock,7.4,Abigail Covington
Sandro Perri,"Electronic,Experimental,Folk/Country",8.1,Ryan Dombal
Jóhann Jóhannsson,Experimental,7.7,Andy Beta
The Goon Sax,Rock,7.2,Nina Corcoran
Bob Moses,Pop/R&B,5.6,Ben Cardew
Aphex Twin,Electronic,8.1,Philip Sherburne
Gazelle Twin,Experimental,7.7,Louis Pattison
Orbital,Electronic,6.0,Larry Fitzmaurice
Black Belt Eagle Scout,Rock,7.2,Maggie Lange
PJ Harvey,Rock,10.0,Judy Berman
Catherine Ribeiro + Alpes,Rock,8.3,Sam Sodomsky
Seinabo Sey,Pop/R&B,6.0,Katherine St. Asaph
Guerilla Toss,Rock,7.3,Margaret Farrell
Sarah Davachi,Electronic,7.7,Philip Sherburne
Low,Rock,8.7,Rich Juzwiak
Dilly Dally,Rock,7.8,Jenn Pelly
Bob Seger & The Last Heard,Rock,8.2,Stephen Thomas Erlewine
Ava Luna,Rock,7.7,Maggie Lange
Octavian ,Rap,8.0,Ciaran Thapar
Amos Lee,"Pop/R&B,Folk/Country",7.0,Amanda Wicks
Slowthai ,Rap,7.8,Sheldon Pearce
Spiral Deluxe,Experimental,5.9,Ben Cardew
The Blaze,Electronic,5.7,Philip Sherburne
The O’My’s,Pop/R&B,6.4,Jonah Bromwich
Kilo Kish,Pop/R&B,7.7,Stephen Kearse
G Perico,Rap,6.7,Jackson Howard
Spiritualized,"Experimental,Rock",7.7,Grayson Haver Currin
Paul McCartney,Rock,5.8,Stephen Thomas Erlewine
Masego,Pop/R&B,7.3,Marcus J. Moore
Amnesia Scanner,Experimental,7.5,Miles Bowe
Joey Purp,Rap,8.3,Sheldon Pearce
Pig Destroyer,Metal,8.1,Grayson Haver Currin
Oliver Coates,Experimental,7.7,Philip Sherburne
Swamp Dogg,Pop/R&B,7.3,Stephen M. Deusner
T.I.,Rap,8.7,Stephen Kearse
Led Zeppelin,Rock,7.3,Jeremy Gordon
Ipek Gorgun,Electronic,7.5,Marc Masters
Catherine Christer Hennix,Experimental,7.2,Andy Beta
Thou,Metal,7.8,Dale W Eisinger
Yves Tumor,Experimental,9.1,Jayson Greene
Waxahatchee,Rock,7.3,Olivia Horn 
Comethazine,Rap,2.6,Alphonse Pierre
Agent Sasco,Pop/R&B,6.5,Edwin “STATS” Houghton
Eminem,Rap,5.0,Marc Hogan
Four Tet,Electronic,7.2,Andy Beta
Bruiser Brigade,Rap,7.4,Will Schube
Wilder Maker,Rock,6.6,Grayson Haver Currin
Armand Hammer,Rap,8.1,Paul A. Thompson
IDLES,Rock,6.8,Dale W Eisinger
Mogwai,Rock,6.9,Stuart Berman
Szun Waves,Experimental,7.2,Piotr Orlov
Big Red Machine,Rock,7.0,Jeremy D. Larson
JEFF the Brotherhood,Rock,7.5,Stuart Berman
Anna Calvi,Pop/R&B,7.8,Cameron Cook
Mass Gothic,Rock,5.1,Sasha Geffen
"Milton Nascimento, Lô Borges","Pop/R&B,Global",9.5,Andy Beta
The Band,Rock,9.4,Stephen Thomas Erlewine
Alice in Chains,Rock,5.7,Robert Ham
George Clanton ,Pop/R&B,7.3,Miles Bowe
Troye Sivan,Pop/R&B,7.5,Jamieson Cox
Iron & Wine,Folk/Country,7.0,Stephen M. Deusner
"The Outfit, TX",Rap,7.4,Sheldon Pearce
Terry,Rock,7.3,Marc Masters
Jesus Piece,Metal,7.6,Andy O'Connor
Wild Nothing,Rock,6.3,Ian Cohen
White Denim,Rock,6.5,Larry Fitzmaurice
Pat Van Dyke,Jazz,7.2,Jonah Bromwich
Pink Siifu,Rap,8.0,Jonah Bromwich
Nothing,Rock,7.1,Jenn Pelly
Uniform,Metal,7.6,Andy O'Connor
Third Eye Blind,Rock,4.0,Grayson Haver Currin
Devon Welsh,Electronic,6.9,Evan Rytlewski
Bamba Pana,Global,7.2,Philip Sherburne
Nef the Pharaoh,Rap,7.3,Dean Van Nguyen
Matthew “Doc” Dunn,"Rock,Folk/Country",8.0,Stuart Berman
Interpol,Rock,6.1,Ian Cohen
Fire-Toolz,Experimental,7.1,Sasha Geffen
Ohmme,Rock,7.6,Maggie Lange
Cap’n Jazz,Rock,8.8,Ian Cohen
The Lemon Twigs,Rock,7.0,Sam Sodomsky
Innumerable Forms,Metal,7.5,Andy O'Connor
Maymind,Electronic,7.2,Philip Sherburne
Blood Orange,Pop/R&B,7.6,Jason King
Anna Meredith,Experimental,6.8,Jayson Greene
DonChristian,Rap,6.9,Briana Younger
Ekuka Morris Sirikiti,Global,7.3,Andy Beta
Oh Sees,Rock,7.6,Stuart Berman
Hermit and the Recluse,Rap,8.0,Torii MacAdams
Gabriel Kahane,Folk/Country,6.8,Grayson Haver Currin
Träden,Rock,6.8,Allison Hussey
Young Thug,Rap,7.3,Evan Rytlewski
Djrum,Electronic,7.4,Andy Beta
Lori Scacco,Experimental,7.3,Philip Sherburne
Sharp Veins,Electronic,6.6,Miles Bowe
Ariana Grande,Pop/R&B,8.1,Jillian Mapes
Aminé,Rap,6.0,Sheldon Pearce
Conner Youngblood,Pop/R&B,7.2,Matthew Strauss
Iglooghost,Electronic,7.2,Jay Balfour
Death Cab for Cutie,Rock,6.0,Larry Fitzmaurice
Rebel Wizard,Metal,7.8,Andy O'Connor
"Jess Sah Bi, Peter One",Global,7.7,Madison Bloom
Odetta Hartman,Folk/Country,8.0,Erin Osmon
The Prodigy,Electronic,5.9,Jesse Dorris
Trevor Powers,"Pop/R&B,Experimental",7.4,Jayson Greene
The Beths,Rock,7.9,Larry Fitzmaurice
Diana Gordon ,Pop/R&B,7.3,Jonah Bromwich
Young Nudy,Rap,7.2,Will Schube
Mitski,Rock,8.8,Quinn Moreland
Cullen Omori,Rock,7.0,Stuart Berman
Tomberlin ,Rock,7.5,Olivia Horn 
Roy Montgomery,Rock,7.6,Sasha Geffen
Animal Collective,Experimental,6.9,Sasha Geffen
Louis Cole,Electronic,7.6,Philip Sherburne
Knowledge the Pirate,Rap,7.1,Phillip Mlynar
SALES,Rock,7.0,Nina Corcoran
Julee Cruise,Pop/R&B,7.7,Meaghan Garvey
Trippie Redd,Rap,6.2,Alphonse Pierre
"milo, Elucid",Rap,7.7,Will Schube
Lola Kirke,Rock,6.2,Madison Bloom
Nicki Minaj,Rap,7.6,Briana Younger
Shy Boys,Rock,6.8,Margaret Farrell
Ram,Global,7.8,Piotr Orlov
Chris Crack,Rap,6.6,Torii MacAdams
Foxing,Rock,8.0,Ian Cohen
OMB Peezy ,Rap,7.4,Stephen Kearse
The Necks,Experimental,8.0,Grayson Haver Currin
Chris Watson,,7.2,Daniel Martin-McCormick
Earl Sweatshirt,Rap,8.3,Sheldon Pearce
Teenage Fanclub,Rock,8.7,Sam Sodomsky
Lambchop,Rock,8.2,Stephen M. Deusner
Caterina Barbieri,Experimental,7.6,Miles Bowe
Koran Streets,Rap,7.5,Jay Balfour
Tirzah,Experimental,8.3,Kevin Lozano
DJ Muggs,Rap,7.1,Jonah Bromwich
Miles Kane,Rock,3.6,Eve Barlow
Jake Shears,Rock,7.4,Jesse Dorris
Jack White,Rock,6.6,Stephen Thomas Erlewine
Tuamie,Rap,7.3,Brian Josephs
Deaf Wish,Rock,7.7,Stuart Berman
Steve Hauschildt,Electronic,7.5,Larry Fitzmaurice
"Sinjin Hawke, Zora Jones",Electronic,7.7,Philip Sherburne
Iggy Azalea,"Pop/R&B,Rap",4.3,Sheldon Pearce
Baka Not Nice,Rap,4.7,Stephen Kearse
Spider Bags,Rock,7.0,Max Savage Levenson
Travis Scott,Rap,7.8,Larry Fitzmaurice
Dorian Concept,Electronic,7.2,Andy Beta
Elephant Micah,Folk/Country,7.2,Brian Howe
YG,Rap,6.5,Jackson Howard
The Love Language,Rock,7.3,Larry Fitzmaurice
Medhane,Rap,7.3,Dean Van Nguyen
Primo!,Rock,7.5,Jenn Pelly
George Michael,Pop/R&B,8.7,Brad Nelson
Channel Tres,Electronic,7.9,Meaghan Garvey
 Gia Margaret,Rock,7.4,Margaret Farrell
Starlito,Rap,7.7,Paul A. Thompson
Mac Miller,Rap,7.5,Evan Rytlewski
Clearance,Rock,6.4,Steven Arroyo
Helena Hauff,Electronic,7.8,Philip Sherburne
Jim O’Rourke,Experimental,8.1,Miles Bowe
RL Grime,Electronic,4.1,Larry Fitzmaurice
This Heat,Experimental,8.0,Robert Ham
Masayoshi Fujita,Experimental,7.6,Andy Beta
Bjarki,Electronic,7.8,Philip Sherburne
"G Herbo, Southside ",Rap,7.3,Sheldon Pearce
88rising,,6.8,Reed Jackson
A Certain Ratio,Electronic,6.0,Daniel Martin-McCormick
Trust Fund,Rock,6.9,Calum Marsh
"Underworld, Iggy Pop","Electronic,Rock",4.7,Daniel Martin-McCormick
Arcángel ,Rap,6.9,Matthew  Ismael Ruiz
SONOIO,Electronic,6.1,Ben Cardew
New Optimism ,Pop/R&B,7.6,Ben Cardew
Santigold,Pop/R&B,7.4,Karas Lamb
The Cradle,Experimental,8.0,Quinn Moreland
"Michael Beharie, Teddy Rankin-Parker",Experimental,7.2,Andy Beta
VanJess,Pop/R&B,7.7,Jackson Howard
Bell Biv Devoe,Pop/R&B,7.4,Brendan Frederick
Ross From Friends,Electronic,6.5,Andy Beta
Daniel Aged,Electronic,7.3,Philip Sherburne
Vinyl Williams,Rock,7.6,Larry Fitzmaurice
Tony Molina,Rock,7.5,Stuart Berman
Oneohtrix Point Never,Experimental,6.5,Larry Fitzmaurice
Denzel Curry,Rap,7.7,Dean Van Nguyen
Soulja Boy,Rap,5.1,Evan Rytlewski
Daniel Bachman,Folk/Country,7.6,Matt Grosinger
Wiz Khalifa,Rap,4.2,Alphonse Pierre
The Ophelias ,Rock,7.1,Steven Arroyo
"Nef the Pharaoh, 03 Greedo",Rap,7.2,Paul A. Thompson
Matchess,Experimental,7.2,Marc Masters
Taylor Bennett,Rap,6.2,Phillip Mlynar
Pariah,Electronic,7.2,Philip Sherburne
Table Sugar,Rock,8.0,Jenn Pelly
Marlowe,Rap,6.7,Mehan Jayasuriya
The Internet,Pop/R&B,8.3,Sheldon Pearce
Hanna,Electronic,7.7,Ben Cardew
Orquesta De Las Nubes,Experimental,7.8,Andy Beta
Buddy,Rap,7.4,Briana Younger
Ovlov ,Rock,7.8,Stuart Berman
Nathan Salsburg,Folk/Country,7.8,Sam Sodomsky
Creedence Clearwater Revival,Rock,8.8,John Lingan
Popcaan,"Global,Pop/R&B",6.9,Whitney  Wei
